Kategori: Tüm kategoriler

Hafta,tarım kredi: (Türkiye)
2019-12-29,4
2020-01-05,5
2020-01-12,5
2020-01-19,5
2020-01-26,4
2020-02-02,5
2020-02-09,5
2020-02-16,5
2020-02-23,5
2020-03-01,7
2020-03-08,8
2020-03-15,8
2020-03-22,7
2020-03-29,7
2020-04-05,6
2020-04-12,7
2020-04-19,7
2020-04-26,6
2020-05-03,5
2020-05-10,6
2020-05-17,4
2020-05-24,5
2020-05-31,5
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,4
2020-07-05,4
2020-07-12,4
2020-07-19,4
2020-07-26,4
2020-08-02,4
2020-08-09,4
2020-08-16,4
2020-08-23,4
2020-08-30,4
2020-09-06,4
2020-09-13,5
2020-09-20,5
2020-09-27,5
2020-10-04,5
2020-10-11,6
2020-10-18,6
2020-10-25,5
2020-11-01,6
2020-11-08,6
2020-11-15,7
2020-11-22,5
2020-11-29,6
2020-12-06,6
2020-12-13,6
2020-12-20,6
2020-12-27,5
2021-01-03,6
2021-01-10,6
2021-01-17,6
2021-01-24,8
2021-01-31,8
2021-02-07,6
2021-02-14,7
2021-02-21,11
2021-02-28,7
2021-03-07,7
2021-03-14,7
2021-03-21,6
2021-03-28,10
2021-04-04,7
2021-04-11,7
2021-04-18,6
2021-04-25,6
2021-05-02,5
2021-05-09,4
2021-05-16,6
2021-05-23,6
2021-05-30,6
2021-06-06,6
2021-06-13,5
2021-06-20,7
2021-06-27,6
2021-07-04,6
2021-07-11,6
2021-07-18,4
2021-07-25,6
2021-08-01,6
2021-08-08,7
2021-08-15,6
2021-08-22,7
2021-08-29,8
2021-09-05,8
2021-09-12,9
2021-09-19,8
2021-09-26,9
2021-10-03,42
2021-10-10,15
2021-10-17,13
2021-10-24,15
2021-10-31,15
2021-11-07,14
2021-11-14,15
2021-11-21,14
2021-11-28,13
2021-12-05,15
2021-12-12,15
2021-12-19,27
2021-12-26,18
2022-01-02,13
2022-01-09,13
2022-01-16,10
2022-01-23,10
2022-01-30,13
2022-02-06,13
2022-02-13,18
2022-02-20,19
2022-02-27,24
2022-03-06,39
2022-03-13,20
2022-03-20,21
2022-03-27,24
2022-04-03,27
2022-04-10,20
2022-04-17,15
2022-04-24,13
2022-05-01,10
2022-05-08,11
2022-05-15,14
2022-05-22,12
2022-05-29,11
2022-06-05,12
2022-06-12,12
2022-06-19,12
2022-06-26,13
2022-07-03,14
2022-07-10,9
2022-07-17,14
2022-07-24,14
2022-07-31,13
2022-08-07,41
2022-08-14,100
2022-08-21,26
2022-08-28,21
2022-09-04,18
2022-09-11,17
2022-09-18,20
2022-09-25,19
2022-10-02,22
2022-10-09,19
2022-10-16,17
2022-10-23,15
2022-10-30,16
2022-11-06,14
2022-11-13,15
2022-11-20,13
2022-11-27,17
2022-12-04,19
2022-12-11,15
2022-12-18,14
2022-12-25,19
2023-01-01,15
2023-01-08,13
2023-01-15,14
2023-01-22,13
2023-01-29,13
2023-02-05,8
2023-02-12,11
2023-02-19,12
2023-02-26,13
2023-03-05,12
2023-03-12,13
2023-03-19,23
2023-03-26,19
2023-04-02,12
2023-04-09,11
2023-04-16,11
2023-04-23,9
2023-04-30,9
2023-05-07,9
2023-05-14,7
2023-05-21,9
2023-05-28,8
2023-06-04,9
2023-06-11,8
2023-06-18,9
2023-06-25,8
2023-07-02,9
2023-07-09,10
2023-07-16,10
2023-07-23,10
2023-07-30,11
2023-08-06,10
2023-08-13,11
2023-08-20,10
2023-08-27,12
2023-09-03,12
2023-09-10,13
2023-09-17,12
2023-09-24,12
2023-10-01,12
2023-10-08,22
2023-10-15,34
2023-10-22,12
2023-10-29,12
2023-11-05,13
2023-11-12,12
2023-11-19,11
2023-11-26,11
2023-12-03,11
2023-12-10,12
2023-12-17,12
2023-12-24,12
2023-12-31,11
