Kategori: Tüm kategoriler

Hafta,benzin fiyatı: (Türkiye)
2019-12-29,2
2020-01-05,2
2020-01-12,3
2020-01-19,3
2020-01-26,6
2020-02-02,5
2020-02-09,4
2020-02-16,3
2020-02-23,7
2020-03-01,5
2020-03-08,51
2020-03-15,42
2020-03-22,14
2020-03-29,11
2020-04-05,6
2020-04-12,4
2020-04-19,12
2020-04-26,5
2020-05-03,5
2020-05-10,4
2020-05-17,4
2020-05-24,5
2020-05-31,7
2020-06-07,6
2020-06-14,5
2020-06-21,5
2020-06-28,4
2020-07-05,4
2020-07-12,4
2020-07-19,5
2020-07-26,6
2020-08-02,8
2020-08-09,6
2020-08-16,5
2020-08-23,6
2020-08-30,4
2020-09-06,4
2020-09-13,6
2020-09-20,5
2020-09-27,5
2020-10-04,4
2020-10-11,4
2020-10-18,4
2020-10-25,4
2020-11-01,5
2020-11-08,5
2020-11-15,6
2020-11-22,4
2020-11-29,3
2020-12-06,3
2020-12-13,3
2020-12-20,3
2020-12-27,3
2021-01-03,3
2021-01-10,3
2021-01-17,3
2021-01-24,3
2021-01-31,4
2021-02-07,4
2021-02-14,3
2021-02-21,4
2021-02-28,4
2021-03-07,4
2021-03-14,4
2021-03-21,4
2021-03-28,4
2021-04-04,4
2021-04-11,3
2021-04-18,3
2021-04-25,3
2021-05-02,3
2021-05-09,4
2021-05-16,13
2021-05-23,7
2021-05-30,6
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,6
2021-07-04,10
2021-07-11,7
2021-07-18,7
2021-07-25,6
2021-08-01,6
2021-08-08,6
2021-08-15,6
2021-08-22,5
2021-08-29,6
2021-09-05,5
2021-09-12,5
2021-09-19,5
2021-09-26,10
2021-10-03,10
2021-10-10,22
2021-10-17,22
2021-10-24,28
2021-10-31,9
2021-11-07,9
2021-11-14,18
2021-11-21,43
2021-11-28,15
2021-12-05,18
2021-12-12,23
2021-12-19,26
2021-12-26,18
2022-01-02,29
2022-01-09,18
2022-01-16,20
2022-01-23,13
2022-01-30,21
2022-02-06,29
2022-02-13,13
2022-02-20,33
2022-02-27,78
2022-03-06,96
2022-03-13,59
2022-03-20,31
2022-03-27,29
2022-04-03,20
2022-04-10,22
2022-04-17,14
2022-04-24,18
2022-05-01,15
2022-05-08,14
2022-05-15,30
2022-05-22,28
2022-05-29,40
2022-06-05,63
2022-06-12,42
2022-06-19,31
2022-06-26,47
2022-07-03,45
2022-07-10,40
2022-07-17,36
2022-07-24,26
2022-07-31,35
2022-08-07,31
2022-08-14,18
2022-08-21,18
2022-08-28,32
2022-09-04,26
2022-09-11,14
2022-09-18,16
2022-09-25,15
2022-10-02,16
2022-10-09,15
2022-10-16,10
2022-10-23,8
2022-10-30,11
2022-11-06,8
2022-11-13,13
2022-11-20,13
2022-11-27,11
2022-12-04,28
2022-12-11,21
2022-12-18,14
2022-12-25,10
2023-01-01,9
2023-01-08,9
2023-01-15,8
2023-01-22,9
2023-01-29,10
2023-02-05,8
2023-02-12,8
2023-02-19,8
2023-02-26,7
2023-03-05,6
2023-03-12,8
2023-03-19,6
2023-03-26,7
2023-04-02,8
2023-04-09,6
2023-04-16,9
2023-04-23,8
2023-04-30,13
2023-05-07,10
2023-05-14,7
2023-05-21,7
2023-05-28,9
2023-06-04,17
2023-06-11,9
2023-06-18,11
2023-06-25,12
2023-07-02,17
2023-07-09,26
2023-07-16,100
2023-07-23,29
2023-07-30,28
2023-08-06,29
2023-08-13,24
2023-08-20,12
2023-08-27,11
2023-09-03,10
2023-09-10,20
2023-09-17,9
2023-09-24,11
2023-10-01,22
2023-10-08,13
2023-10-15,11
2023-10-22,8
2023-10-29,8
2023-11-05,7
2023-11-12,8
2023-11-19,6
2023-11-26,9
2023-12-03,9
2023-12-10,7
2023-12-17,8
2023-12-24,7
2023-12-31,11
